StepID,RecipeID,StepNumber,StepDesc
300,100,1,Preheat oven to 375 degrees F (190 degrees C). Spray 15 muffin cups with cooking spray.
301,100,2,"Lightly spoon 2 cups flour into a dry measuring cup; level with a knife. Combine flour, sugar, baking powder, baking soda, and salt in a bowl using a whisk; make a well in the center."
302,100,3,"Stir yogurt, buttermilk, butter, eggs, poppy seeds, and vanilla extract together in a separate bowl; add to flour mixture, stirring just until batter is moist. Spoon batter into prepared muffin cups."
303,100,4,"Bake in the preheated oven until tops are golden brown, about 18 minutes. Remove muffins from cups immediately and place on a wire rack."
304,101,1,"Whisk together the water, bourbon whiskey, soy sauce, brown sugar, Worcestershire sauce, and lemon juice in a bowl, and pour into a plastic zipper bag. Add the rib-eye steaks, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 8 hours or overnight."
305,101,2,"Preheat an outdoor grill for high heat, and lightly oil the grate."
306,101,3,"Remove the rib-eye steaks from the marinade, and shake off excess. Discard the remaining marinade. Grill the steaks on high, 1 to 2 minutes per side, to sear the meat. Move the steaks to a cooler part of the grill and cook for an additional 2 to 3 minutes per side, if desired."
307,102,1,Cut off broccoli florets and save for another use. Cut woody ends off the stems. Shave large knots off the stems using a vegetable peeler so that they are as uniform as possible. Cut into noodles using the smallest blade on a spiralizer.
308,102,2,"Heat 1 tablespoon olive oil in a large skillet over medium-high heat. Add broccoli noodles, salt, and pepper; toss for 3 minutes. Remove from heat and set aside."
309,102,3,"Heat remaining olive oil and garlic in a separate skillet over medium heat. Cook for 1 minute. Add shrimp and cook until opaque, about 3 minutes per side. Transfer shrimp to a bowl."
310,102,4,"Add wine, lemon juice, butter, basil, chives, and red pepper to the skillet. Whisk over medium heat for 3 minutes. Return shrimp to the skillet and toss to coat."
311,102,5,Spoon broccoli noodles into 4 serving bowls. Top with shrimp mixture.
312,103,1,Heat a lightly oiled skillet over medium heat.
313,103,2,"Whisk eggs, half and half, pumpkin, cinnamon, vanilla extract, pumpkin pie spice, and walnuts together in a bowl. Soak one slice of bread at a time in the pumpkin mixture, then place in the prepared skilled. Repeat with the remaining slices of bread. Stir the pumpkin mixture between dips to keep the walnuts from settling. Cook the bread until golden brown, about 3 minutes on each side."
314,104,1,"Bring a large pot of lightly salted water to a boil. Add orzo pasta, cook for 8 to 10 minutes, until al dente, and drain."
315,104,2,"Heat the oil in a skillet over medium-high heat, and cook the garlic and red pepper 1 minute, until garlic is golden brown. Stir in chicken, season with salt, and cook 2 to 5 minutes, until lightly browned and juices run clear. Reduce heat to medium, and mix in the parsley and cooked orzo. Place spinach in the skillet. Continue cooking 5 minutes, stirring occasionally, until spinach is wilted. Serve topped with Parmesan cheese."
316,105,1,"Place the ground beef and onion in a large skillet over medium-high heat. Cook, stirring to crumble, until beef is browned. Drain. Transfer the beef and onion to a slow cooker and stir in the ketchup, sugar, vinegar and mustard. Season with celery seed, Worcestershire sauce, pepper and salt. Cover and simmer on Low setting for a few hours before serving."
,,,
,,,
